MTU (CET/CEST),Price,Currency,BZNAT
2022-01-01 00:00:00,59.51,EUR,
2022-01-01 00:15:00,57.1,EUR,
2022-01-01 00:30:00,-39.66,EUR,
2022-01-01 00:45:00,-40.03,EUR,
2022-01-01 01:00:00,58.5,EUR,
2022-01-01 01:15:00,46.1,EUR,
2022-01-01 01:30:00,-42.93,EUR,
2022-01-01 01:45:00,-46.62,EUR,
2022-01-01 02:00:00,51.06,EUR,
2022-01-01 02:15:00,11.63,EUR,
2022-01-01 02:30:00,-37.23,EUR,
2022-01-01 02:45:00,-41.58,EUR,
2022-01-01 03:00:00,22.43,EUR,
2022-01-01 03:15:00,-21.97,EUR,
2022-01-01 03:30:00,-27.94,EUR,
2022-01-01 03:45:00,-29.79,EUR,
2022-01-01 04:00:00,-11.34,EUR,
2022-01-01 04:15:00,-12.84,EUR,
2022-01-01 04:30:00,-9.99,EUR,
2022-01-01 04:45:00,-9.06,EUR,
2022-01-01 05:00:00,28.69,EUR,
2022-01-01 05:15:00,22.19,EUR,
2022-01-01 05:30:00,18.53,EUR,
2022-01-01 05:45:00,9.7,EUR,
2022-01-01 06:00:00,23.18,EUR,
2022-01-01 06:15:00,35.0,EUR,
2022-01-01 06:30:00,58.5,EUR,
2022-01-01 06:45:00,63.92,EUR,
2022-01-01 07:00:00,34.93,EUR,
2022-01-01 07:15:00,45.37,EUR,
2022-01-01 07:30:00,58.5,EUR,
2022-01-01 07:45:00,90.09,EUR,
2022-01-01 08:00:00,56.45,EUR,
2022-01-01 08:15:00,58.5,EUR,
2022-01-01 08:30:00,62.94,EUR,
2022-01-01 08:45:00,83.5,EUR,
2022-01-01 09:00:00,70.05,EUR,
2022-01-01 09:15:00,76.78,EUR,
2022-01-01 09:30:00,77.87,EUR,
2022-01-01 09:45:00,83.5,EUR,
2022-01-01 10:00:00,83.5,EUR,
2022-01-01 10:15:00,86.19,EUR,
2022-01-01 10:30:00,88.88,EUR,
2022-01-01 10:45:00,83.5,EUR,
2022-01-01 11:00:00,86.73,EUR,
2022-01-01 11:15:00,95.01,EUR,
2022-01-01 11:30:00,83.5,EUR,
2022-01-01 11:45:00,80.06,EUR,
2022-01-01 12:00:00,125.02,EUR,
2022-01-01 12:15:00,84.33,EUR,
2022-01-01 12:30:00,80.99,EUR,
2022-01-01 12:45:00,58.5,EUR,
2022-01-01 13:00:00,100.09,EUR,
2022-01-01 13:15:00,87.86,EUR,
2022-01-01 13:30:00,82.91,EUR,
2022-01-01 13:45:00,77.1,EUR,
2022-01-01 14:00:00,100.04,EUR,
2022-01-01 14:15:00,85.37,EUR,
2022-01-01 14:30:00,83.52,EUR,
2022-01-01 14:45:00,83.52,EUR,
2022-01-01 15:00:00,85.71,EUR,
2022-01-01 15:15:00,89.06,EUR,
2022-01-01 15:30:00,96.76,EUR,
2022-01-01 15:45:00,94.26,EUR,
2022-01-01 16:00:00,59.51,EUR,
2022-01-01 16:15:00,78.66,EUR,
2022-01-01 16:30:00,107.46,EUR,
2022-01-01 16:45:00,155.03,EUR,
2022-01-01 17:00:00,87.05,EUR,
2022-01-01 17:15:00,120.05,EUR,
2022-01-01 17:30:00,110.08,EUR,
2022-01-01 17:45:00,131.12,EUR,
2022-01-01 18:00:00,150.0,EUR,
2022-01-01 18:15:00,125.09,EUR,
2022-01-01 18:30:00,115.06,EUR,
2022-01-01 18:45:00,88.82,EUR,
2022-01-01 19:00:00,130.01,EUR,
2022-01-01 19:15:00,105.36,EUR,
2022-01-01 19:30:00,87.28,EUR,
2022-01-01 19:45:00,81.5,EUR,
2022-01-01 20:00:00,150.0,EUR,
2022-01-01 20:15:00,89.5,EUR,
2022-01-01 20:30:00,83.5,EUR,
2022-01-01 20:45:00,65.01,EUR,
2022-01-01 21:00:00,118.85,EUR,
2022-01-01 21:15:00,85.2,EUR,
2022-01-01 21:30:00,75.26,EUR,
2022-01-01 21:45:00,76.68,EUR,
2022-01-01 22:00:00,89.14,EUR,
2022-01-01 22:15:00,101.15,EUR,
2022-01-01 22:30:00,83.01,EUR,
2022-01-01 22:45:00,65.58,EUR,
2022-01-01 23:00:00,139.91,EUR,
2022-01-01 23:15:00,71.79,EUR,
2022-01-01 23:30:00,59.51,EUR,
2022-01-01 23:45:00,58.11,EUR,
2022-01-02 00:00:00,156.55,EUR,
2022-01-02 00:15:00,119.91,EUR,
2022-01-02 00:30:00,42.36,EUR,
2022-01-02 00:45:00,35.23,EUR,
2022-01-02 01:00:00,139.98,EUR,
2022-01-02 01:15:00,99.91,EUR,
2022-01-02 01:30:00,24.38,EUR,
2022-01-02 01:45:00,19.72,EUR,
2022-01-02 02:00:00,129.91,EUR,
2022-01-02 02:15:00,60.55,EUR,
2022-01-02 02:30:00,14.44,EUR,
2022-01-02 02:45:00,12.31,EUR,
2022-01-02 03:00:00,67.95,EUR,
2022-01-02 03:15:00,49.91,EUR,
2022-01-02 03:30:00,33.65,EUR,
2022-01-02 03:45:00,8.5,EUR,
2022-01-02 04:00:00,40.95,EUR,
2022-01-02 04:15:00,26.16,EUR,
2022-01-02 04:30:00,42.94,EUR,
2022-01-02 04:45:00,49.95,EUR,
2022-01-02 05:00:00,35.92,EUR,
2022-01-02 05:15:00,37.95,EUR,
2022-01-02 05:30:00,37.97,EUR,
2022-01-02 05:45:00,79.92,EUR,
2022-01-02 06:00:00,25.26,EUR,
2022-01-02 06:15:00,38.25,EUR,
2022-01-02 06:30:00,99.9,EUR,
2022-01-02 06:45:00,129.95,EUR,
2022-01-02 07:00:00,27.94,EUR,
2022-01-02 07:15:00,44.38,EUR,
2022-01-02 07:30:00,103.03,EUR,
2022-01-02 07:45:00,157.95,EUR,
2022-01-02 08:00:00,43.0,EUR,
2022-01-02 08:15:00,51.57,EUR,
2022-01-02 08:30:00,116.52,EUR,
2022-01-02 08:45:00,172.91,EUR,
2022-01-02 09:00:00,66.58,EUR,
2022-01-02 09:15:00,71.54,EUR,
2022-01-02 09:30:00,111.0,EUR,
2022-01-02 09:45:00,146.06,EUR,
2022-01-02 10:00:00,133.0,EUR,
2022-01-02 10:15:00,129.91,EUR,
2022-01-02 10:30:00,119.91,EUR,
2022-01-02 10:45:00,119.93,EUR,
2022-01-02 11:00:00,149.94,EUR,
2022-01-02 11:15:00,129.95,EUR,
2022-01-02 11:30:00,96.11,EUR,
2022-01-02 11:45:00,80.0,EUR,
2022-01-02 12:00:00,139.96,EUR,
2022-01-02 12:15:00,129.92,EUR,
2022-01-02 12:30:00,86.0,EUR,
2022-01-02 12:45:00,72.2,EUR,
2022-01-02 13:00:00,139.94,EUR,
2022-01-02 13:15:00,109.38,EUR,
2022-01-02 13:30:00,87.0,EUR,
2022-01-02 13:45:00,84.0,EUR,
2022-01-02 14:00:00,119.92,EUR,
2022-01-02 14:15:00,88.97,EUR,
2022-01-02 14:30:00,109.91,EUR,
2022-01-02 14:45:00,80.96,EUR,
2022-01-02 15:00:00,68.95,EUR,
2022-01-02 15:15:00,100.2,EUR,
2022-01-02 15:30:00,109.92,EUR,
2022-01-02 15:45:00,119.94,EUR,
2022-01-02 16:00:00,75.74,EUR,
2022-01-02 16:15:00,74.0,EUR,
2022-01-02 16:30:00,119.98,EUR,
2022-01-02 16:45:00,150.0,EUR,
2022-01-02 17:00:00,88.36,EUR,
2022-01-02 17:15:00,115.81,EUR,
2022-01-02 17:30:00,102.0,EUR,
2022-01-02 17:45:00,114.0,EUR,
2022-01-02 18:00:00,155.72,EUR,
2022-01-02 18:15:00,256.98,EUR,
2022-01-02 18:30:00,148.01,EUR,
2022-01-02 18:45:00,109.97,EUR,
2022-01-02 19:00:00,150.0,EUR,
2022-01-02 19:15:00,256.92,EUR,
2022-01-02 19:30:00,141.11,EUR,
2022-01-02 19:45:00,129.95,EUR,
2022-01-02 20:00:00,256.97,EUR,
2022-01-02 20:15:00,119.99,EUR,
2022-01-02 20:30:00,109.96,EUR,
2022-01-02 20:45:00,119.9,EUR,
2022-01-02 21:00:00,146.07,EUR,
2022-01-02 21:15:00,109.94,EUR,
2022-01-02 21:30:00,82.0,EUR,
2022-01-02 21:45:00,66.07,EUR,
2022-01-02 22:00:00,120.0,EUR,
2022-01-02 22:15:00,109.94,EUR,
2022-01-02 22:30:00,93.98,EUR,
2022-01-02 22:45:00,96.38,EUR,
2022-01-02 23:00:00,150.0,EUR,
2022-01-02 23:15:00,99.94,EUR,
2022-01-02 23:30:00,87.91,EUR,
2022-01-02 23:45:00,50.15,EUR,
2022-01-03 00:00:00,150.0,EUR,
2022-01-03 00:15:00,98.5,EUR,
2022-01-03 00:30:00,70.01,EUR,
2022-01-03 00:45:00,53.72,EUR,
2022-01-03 01:00:00,144.95,EUR,
2022-01-03 01:15:00,70.1,EUR,
2022-01-03 01:30:00,60.05,EUR,
2022-01-03 01:45:00,25.38,EUR,
2022-01-03 02:00:00,120.0,EUR,
2022-01-03 02:15:00,70.06,EUR,
2022-01-03 02:30:00,50.03,EUR,
2022-01-03 02:45:00,34.29,EUR,
2022-01-03 03:00:00,70.06,EUR,
2022-01-03 03:15:00,60.04,EUR,
2022-01-03 03:30:00,50.06,EUR,
2022-01-03 03:45:00,60.08,EUR,
2022-01-03 04:00:00,-20.0,EUR,
2022-01-03 04:15:00,50.04,EUR,
2022-01-03 04:30:00,80.68,EUR,
2022-01-03 04:45:00,150.0,EUR,
2022-01-03 05:00:00,-20.0,EUR,
2022-01-03 05:15:00,50.03,EUR,
2022-01-03 05:30:00,127.23,EUR,
2022-01-03 05:45:00,214.98,EUR,
2022-01-03 06:00:00,0.02,EUR,
2022-01-03 06:15:00,75.0,EUR,
2022-01-03 06:30:00,183.61,EUR,
2022-01-03 06:45:00,249.98,EUR,
2022-01-03 07:00:00,80.35,EUR,
2022-01-03 07:15:00,169.91,EUR,
2022-01-03 07:30:00,256.94,EUR,
2022-01-03 07:45:00,270.98,EUR,
2022-01-03 08:00:00,135.06,EUR,
2022-01-03 08:15:00,185.0,EUR,
2022-01-03 08:30:00,195.0,EUR,
2022-01-03 08:45:00,234.99,EUR,
2022-01-03 09:00:00,170.08,EUR,
2022-01-03 09:15:00,200.0,EUR,
2022-01-03 09:30:00,200.0,EUR,
2022-01-03 09:45:00,170.0,EUR,
2022-01-03 10:00:00,190.0,EUR,
2022-01-03 10:15:00,175.0,EUR,
2022-01-03 10:30:00,157.71,EUR,
2022-01-03 10:45:00,150.06,EUR,
2022-01-03 11:00:00,234.93,EUR,
2022-01-03 11:15:00,199.93,EUR,
2022-01-03 11:30:00,150.0,EUR,
2022-01-03 11:45:00,155.0,EUR,
2022-01-03 12:00:00,239.96,EUR,
2022-01-03 12:15:00,214.97,EUR,
2022-01-03 12:30:00,176.84,EUR,
2022-01-03 12:45:00,165.0,EUR,
2022-01-03 13:00:00,180.0,EUR,
2022-01-03 13:15:00,170.0,EUR,
2022-01-03 13:30:00,140.08,EUR,
2022-01-03 13:45:00,140.05,EUR,
2022-01-03 14:00:00,170.0,EUR,
2022-01-03 14:15:00,165.0,EUR,
2022-01-03 14:30:00,170.0,EUR,
2022-01-03 14:45:00,213.2,EUR,
2022-01-03 15:00:00,155.09,EUR,
2022-01-03 15:15:00,160.08,EUR,
2022-01-03 15:30:00,180.98,EUR,
2022-01-03 15:45:00,220.0,EUR,
2022-01-03 16:00:00,180.0,EUR,
2022-01-03 16:15:00,175.02,EUR,
2022-01-03 16:30:00,180.81,EUR,
2022-01-03 16:45:00,250.0,EUR,
2022-01-03 17:00:00,235.01,EUR,
2022-01-03 17:15:00,219.43,EUR,
2022-01-03 17:30:00,200.08,EUR,
2022-01-03 17:45:00,257.47,EUR,
2022-01-03 18:00:00,220.08,EUR,
2022-01-03 18:15:00,180.09,EUR,
2022-01-03 18:30:00,170.05,EUR,
2022-01-03 18:45:00,170.01,EUR,
2022-01-03 19:00:00,270.0,EUR,
2022-01-03 19:15:00,239.9,EUR,
2022-01-03 19:30:00,177.9,EUR,
2022-01-03 19:45:00,87.68,EUR,
2022-01-03 20:00:00,256.95,EUR,
2022-01-03 20:15:00,196.66,EUR,
2022-01-03 20:30:00,150.05,EUR,
2022-01-03 20:45:00,100.06,EUR,
2022-01-03 21:00:00,234.06,EUR,
2022-01-03 21:15:00,200.0,EUR,
2022-01-03 21:30:00,110.08,EUR,
2022-01-03 21:45:00,87.69,EUR,
2022-01-03 22:00:00,205.0,EUR,
2022-01-03 22:15:00,174.87,EUR,
2022-01-03 22:30:00,110.08,EUR,
2022-01-03 22:45:00,110.05,EUR,
2022-01-03 23:00:00,195.0,EUR,
2022-01-03 23:15:00,150.0,EUR,
2022-01-03 23:30:00,100.08,EUR,
2022-01-03 23:45:00,88.6,EUR,
2022-01-04 00:00:00,152.87,EUR,
2022-01-04 00:15:00,126.86,EUR,
2022-01-04 00:30:00,78.14,EUR,
2022-01-04 00:45:00,45.0,EUR,
2022-01-04 01:00:00,150.0,EUR,
2022-01-04 01:15:00,104.14,EUR,
2022-01-04 01:30:00,64.98,EUR,
2022-01-04 01:45:00,54.9,EUR,
2022-01-04 02:00:00,129.92,EUR,
2022-01-04 02:15:00,74.98,EUR,
2022-01-04 02:30:00,99.9,EUR,
2022-01-04 02:45:00,69.79,EUR,
2022-01-04 03:00:00,109.92,EUR,
2022-01-04 03:15:00,99.91,EUR,
2022-01-04 03:30:00,70.99,EUR,
2022-01-04 03:45:00,92.27,EUR,
2022-01-04 04:00:00,65.06,EUR,
2022-01-04 04:15:00,69.23,EUR,
2022-01-04 04:30:00,109.9,EUR,
2022-01-04 04:45:00,150.0,EUR,
2022-01-04 05:00:00,59.97,EUR,
2022-01-04 05:15:00,70.94,EUR,
2022-01-04 05:30:00,151.86,EUR,
2022-01-04 05:45:00,200.85,EUR,
2022-01-04 06:00:00,-9.92,EUR,
2022-01-04 06:15:00,139.91,EUR,
2022-01-04 06:30:00,219.62,EUR,
2022-01-04 06:45:00,310.0,EUR,
2022-01-04 07:00:00,69.12,EUR,
2022-01-04 07:15:00,151.86,EUR,
2022-01-04 07:30:00,239.68,EUR,
2022-01-04 07:45:00,310.0,EUR,
2022-01-04 08:00:00,152.87,EUR,
2022-01-04 08:15:00,199.9,EUR,
2022-01-04 08:30:00,219.95,EUR,
2022-01-04 08:45:00,229.98,EUR,
2022-01-04 09:00:00,199.93,EUR,
