Algo1,Algo2,AlgoNeu
0.45568621,0.50437791,0.614006186200001
0.00182223,0.24307765,0.0847625339
0.37390882,0.15927442,0.2368770967
0.67731965,0.67515032,0.6949128682
0.46794852,0.48661548,0.486521160100001
0.46697917,0.41630068,0.4596830387
0.31493784,0.38625809,0.4378318253
0.0012343,0.27512892,0.2958448763
0.37387553,0.16656774,0.3382933724
0.5260841,0.55143604,0.546087667200001
0.61007195,0.62213262,0.59598582
0.05141511,0.05193636,0.0475210861
0.37042447,0.37042447,0.3358741428
0.01609593,0.26363777,0.1440698495
0.47335534,0.38320657,0.4366787613
0.36878334,0.3688,0.3672039016
0.08392517,0.3660746,0.3059668958
0.21765867,0.17178426,0.1793932182
0.10982691,0.10982691,0.0957677836000002
0.35275756,0.31756731,0.463792150000001
0.02543258,0.00644343,0.0899301021
0.14591526,0.14591526,0.15918887
0.15395955,0.15602057,0.1684283734
0.03411428,0.03411428,0.0188338593
0.02312303,0.03019545,0.0563181184
0.00049294,0.00090857,0.0083633377
